satellite,mean_error,median_error,p95_error,max_error,anomaly_count,sgp4_mean_km,sgp4_median_km,sgp4_p95_km,sgp4_max_km,sgp4_std_km,behavior_class
HySIS,2.3930933475494385,2.279064178466797,3.3038398265838618,18.115535736083984,9.0,0.4632996050366461,0.0781032041624333,0.5669802178414614,236.12296236522883,4.525433402983522,MODERATELY_ACTIVE
IMS-1,3.1944565773010254,2.8186259269714355,5.602708172798157,16.07332992553711,3.0,0.3199398401668529,0.1462751717249019,0.8744432066538366,85.92711553327293,1.1926896843976524,MODERATELY_ACTIVE
INSAT 3DS,1.2397280931472778,1.1513197422027588,2.4789244651794435,3.855519771575928,5.0,38.3364521587712,0.2290905843817481,5.167652412810875,38113.41096924429,1079.069786264833,STABLE
INSAT-3D,2.35715913772583,2.0610334873199463,4.41466178894043,4.925438404083252,0.0,11.038770685485265,0.3000749759014904,11.124751967219384,75689.43162463405,756.3779709224345,MODERATELY_ACTIVE
INSAT-3DR,0.93820983171463,0.9232964515686036,1.7309763967990874,2.412165403366089,0.0,12.78194075540848,0.2182937349931097,4.013822191556113,61924.15488312376,728.4473094273225,STABLE
IRNSS 1C,2.3264853954315186,2.1130948066711426,4.397032308578491,4.674490451812744,0.0,12.761698830273776,0.2979489051020845,2.266399760464795,80782.12606854302,899.9947589751641,MODERATELY_ACTIVE
IRNSS 1F,2.290444850921631,2.273266792297364,2.9508426189422607,3.186835765838623,0.0,25.11166396371137,0.3441989461980856,1.569205043612265,76622.331272434,1234.030049199375,STABLE
IRNSS-1A,1.9641737937927248,1.9661128520965576,2.617922365665436,9.114760398864746,18.0,13.871004952832024,0.2921872765886644,18.89462927930017,25851.752617248243,416.60591479745216,MODERATELY_ACTIVE
IRNSS-1B,1.6412886381149292,1.5882624387741089,2.386740493774412,12.61127471923828,15.0,32.49892310029537,0.2768100473290462,19.505720118538903,81432.70813531768,1313.5596462514166,MODERATELY_ACTIVE
IRNSS-1D,2.611964225769043,1.7155166864395142,6.53091037273407,6.81959867477417,0.0,21.096179715233628,0.5239674998588001,8.190301647577915,58029.22779750185,862.0742666577655,UNSTABLE
IRNSS-1E,1.885979175567627,1.978296041488648,2.490669679641724,2.724781513214112,0.0,26.46407714679836,0.2625093004491889,9.262250157295936,45984.09563446778,867.5796164829266,STABLE
IRNSS-1G,2.8391330242156982,2.8147966861724854,3.767843270301818,5.566098690032959,24.0,1.1719844751397397,0.3095704216872462,1.376503095790754,183.895448406322,6.871730346422469,MODERATELY_ACTIVE
IRNSS-1I,1.5401201248168943,1.541760802268982,2.0993242502212524,2.6399967670440674,1.0,49.42856609718842,0.2369440256319511,5.732014812036928,39672.01663521812,1224.381626635976,STABLE
NVS 02,1.9545305967330933,1.958182454109192,2.2964338779449465,2.320873022079468,0.0,62.06365763713941,0.597088009567232,11.041236862714918,13025.95636034165,793.966022287131,STABLE
NVS-01,2.0018646717071533,2.022214412689209,2.5346360802650447,2.727548837661743,0.0,33.40503940972937,0.1660705084956881,0.6041031266941282,38363.17253210401,1061.654448586531,STABLE
OCEANSAT 2,3.0814366340637207,3.1105599403381348,3.954820585250855,5.401087284088135,9.0,1.9978777773989589,0.0505699487382345,9.778594768467732,419.1583783972978,7.34578751517269,MODERATELY_ACTIVE
POEM,2.5872299671173096,2.539700508117676,3.417658996582031,4.250077724456787,2.0,0.7531553997968432,0.3020640860420778,2.186206895749524,316.4987992168424,6.680210423724423,MODERATELY_ACTIVE
POEM 2,2.478015661239624,2.4618687629699707,3.2043916702270496,4.325874328613281,12.0,0.2871704757217502,0.1170801019674124,0.8140096006285835,37.07208677423399,1.266755645456343,MODERATELY_ACTIVE
PRATHAM,3.136728048324585,3.162248611450196,4.414233160018913,9.317049980163574,19.0,0.9794711564188656,0.042671659389606,0.3278556977341833,6523.1048029361655,75.71142250131868,MODERATELY_ACTIVE
RESOURCESAT 2,2.5160789489746094,2.0751867294311523,6.571995735168457,41.91584014892578,123.0,0.3548381038389208,0.069832838195459,0.8733483448082069,521.5123727879752,5.486655969916513,UNSTABLE
RESOURCESAT 2A,1.458431601524353,1.2728912830352783,3.0695484399795534,7.576745986938477,40.0,0.8776366213736937,0.0476562215720007,0.6036503727234539,1020.495477196503,23.45541308400324,UNSTABLE
RISAT 1,3.3457610607147217,3.447946071624756,5.4582932472229,8.394702911376953,10.0,0.8014340908959301,0.146052683489225,1.0911136104891674,4863.653354485085,37.45891599690384,MODERATELY_ACTIVE
RISAT-2B,2.206887006759644,2.150064468383789,2.9836952090263367,19.63437843322754,19.0,2.170813983079133,0.0892558879355036,0.8154877487715587,6340.71693988013,96.99097294283796,MODERATELY_ACTIVE
RISAT-2BR1,2.622000217437744,2.6205601692199707,3.2075373649597165,4.971931457519531,17.0,0.8028079405420904,0.0774843828436445,0.8771389196118615,1278.7691261677824,18.20707761470225,MODERATELY_ACTIVE
RISAT-2BR2,2.8464038372039795,2.827267646789551,3.376692831516265,4.362725734710693,20.0,1.3046219726808366,0.1377526908308269,1.2218690875046252,820.406341267402,20.09988436524595,MODERATELY_ACTIVE
SARAL,1.8653956651687624,1.736830472946167,3.141206908226012,6.789848804473877,31.0,1.4182735118552598,0.0313940045016328,1.066307983600835,10828.825898617084,110.4484790836996,UNSTABLE
SCATSAT 1,3.323275089263916,4.103109836578369,4.387707233428955,6.068770885467529,0.0,2.3176739300989526,0.0443094915498259,0.3719165540437332,6227.236685998013,79.38582414529482,MODERATELY_ACTIVE
SDX 01,2.612565040588379,2.4869351387023926,3.154230535030365,14.639260292053224,1.0,0.9305133270785996,0.1372157451380435,1.6577720681195784,192.5309359693156,7.912454100375685,MODERATELY_ACTIVE
SDX 02,2.434041738510132,2.3802740573883057,3.06615514755249,6.000603199005127,3.0,1.4954086467474086,0.1985597538368205,2.4890313254729404,300.5499720005522,13.467505804589448,MODERATELY_ACTIVE
SRMSAT,2.851745128631592,2.831297874450684,3.856643652915954,14.11584758758545,9.0,0.1591267381797904,0.0835426348269784,0.4707887370001938,43.76126001065638,0.7340729524768295,MODERATELY_ACTIVE
STUDSAT,3.146575450897217,3.0914788246154785,4.68490993976593,22.6581974029541,21.0,1.0205973804618258,0.0891439047885599,0.6295760301739403,1800.7552193189283,34.29305391869797,MODERATELY_ACTIVE
TSAT-1A,1.7897132635116575,1.7283035516738892,2.44969880580902,3.8021085262298575,6.0,9.997786699627444,0.1043476705384988,0.8103745744354725,6560.233989587635,198.32107599668453,MODERATELY_ACTIVE
